y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
263.88,1.17,0.750655841,2.632908484,4.14E+00,-0.86,-0.682596226,17.98903182,21.68590474
267.99,1.17,0.748460982,2.621805921,4.13E+00,-0.86,-0.679931041,18.0160472,21.70646087
272.13,1.17,0.746261373,2.610731862,4.11E+00,-0.85,-0.677265855,18.04284435,21.7268206
276.3,1.16,0.744057013,2.599681558,4.10E+00,-0.85,-0.67460067,18.06942329,21.74700575
280.49,1.16,0.741852653,2.588659758,4.09E+00,-0.85,-0.671935485,18.09576219,21.76699451
284.72,1.16,0.739643542,2.577656961,4.07E+00,-0.85,-0.669270299,18.12190469,21.78678687
288.97,1.16,0.737434431,2.566682669,4.06E+00,-0.85,-0.666600363,18.14780716,21.80642648
293.25,1.16,0.735215819,2.555736881,4.05E+00,-0.84,-0.663935178,18.17351323,21.82593516
297.56,1.15,0.733001958,2.544814847,4.03E+00,-0.84,-0.661265242,18.19900108,21.84513834
301.91,1.15,0.730778594,2.533916568,4.02E+00,-0.84,-0.658595306,18.22429253,21.86434151
306.28,1.15,0.728559982,2.523042042,4.00E+00,-0.84,-0.65592537,18.24936576,21.88310825
310.67,1.15,0.726331868,2.51219602,3.99E+00,-0.84,-0.653255434,18.2742426,21.90187499
315.1,1.15,0.724103754,2.501373753,3.98E+00,-0.83,-0.650585498,18.29892305,21.92042351
319.56,1.14,0.721875641,2.49057999,3.96E+00,-0.83,-0.647915562,18.32340709,21.93897203
324.04,1.14,0.719642776,2.479805231,3.95E+00,-0.83,-0.645245626,18.34769475,21.95730233
328.55,1.14,0.717409911,2.469058976,3.93E+00,-0.83,-0.642570939,18.371786,21.97541442
333.1,1.14,0.715177047,2.458341225,3.92E+00,-0.82,-0.639901003,18.39570268,21.99330829
337.66,1.13,0.712939431,2.447647229,3.91E+00,-0.82,-0.637226316,18.41942297,22.01098393
342.26,1.13,0.710697065,2.436976986,3.89E+00,-0.82,-0.63455638,18.44294685,22.02865958
346.89,1.13,0.708454699,2.426335248,3.88E+00,-0.82,-0.631881694,18.46629617,22.04611701
351.54,1.13,0.706212333,2.415712513,3.86E+00,-0.82,-0.629207007,18.48947091,22.06357445
356.22,1.13,0.703969966,2.405118283,3.85E+00,-0.81,-0.62653232,18.51247107,22.08059544
360.93,1.12,0.701722849,2.394547807,3.83E+00,-0.81,-0.623857633,18.53527484,22.09783465
365.67,1.12,0.699475732,2.384005835,3.82E+00,-0.81,-0.621182946,18.55792586,22.11463743
370.44,1.12,0.697228615,2.373482867,3.80E+00,-0.81,-0.618503509,18.58038048,22.13144021
375.23,1.12,0.694976748,2.362988403,3.79E+00,-0.8,-0.615828822,18.60268235,22.14802477
380.05,1.11,0.692729631,2.352522444,3.77E+00,-0.8,-0.613149384,18.62478782,22.16439111
384.9,1.11,0.690477763,2.342080238,3.76E+00,-0.8,-0.610474697,18.64674054,22.18075745
389.78,1.11,0.688225895,2.331661787,3.74E+00,-0.8,-0.60779526,18.66854051,22.19690558
394.68,1.11,0.685969277,2.321267089,3.73E+00,-0.8,-0.605120573,18.6901659,22.2130537
399.61,1.1,0.683717409,2.310900897,3.71E+00,-0.79,-0.602441136,18.71161672,22.22898361
404.57,1.1,0.68146079,2.300558457,3.70E+00,-0.79,-0.599761698,18.73291479,22.24469529
409.55,1.1,0.679208923,2.290244523,3.68E+00,-0.79,-0.59708226,18.7540601,22.26040698
414.56,1.1,0.676952304,2.279954343,3.67E+00,-0.79,-0.594402823,18.77505266,22.27590045
419.6,1.09,0.674695686,2.269687916,3.65E+00,-0.78,-0.591723385,18.79587065,22.29117571
424.67,1.09,0.672443818,2.259449994,3.64E+00,-0.78,-0.589039197,18.81653588,22.30645096
429.76,1.09,0.670187199,2.249240577,3.62E+00,-0.78,-0.586359759,18.83704836,22.32172621
434.88,1.08,0.667930581,2.239054913,3.60E+00,-0.78,-0.583680322,18.85740809,22.33678324
440.03,1.08,0.665673962,2.228897754,3.59E+00,-0.77,-0.580996133,18.87763689,22.35162206
445.2,1.08,0.663422094,2.21876435,3.57E+00,-0.77,-0.578316696,18.89769112,22.36646088
450.4,1.08,0.661165476,2.208659449,3.56E+00,-0.77,-0.575632507,18.91759259,22.38108148
455.62,1.07,0.658913608,2.198578303,3.54E+00,-0.77,-0.57295307,18.93736313,22.39548386
460.87,1.07,0.65665699,2.188525661,3.53E+00,-0.76,-0.570268881,18.95698092,22.40988624
466.15,1.07,0.654405122,2.178496773,3.51E+00,-0.76,-0.567584693,18.97646777,22.42428862
471.45,1.07,0.652153254,2.16849639,3.50E+00,-0.76,-0.564905255,18.99580188,22.43847278
476.78,1.06,0.649901386,2.158524512,3.48E+00,-0.75,-0.562221067,19.01498323,22.45243873
482.14,1.06,0.647654269,2.148581138,3.46E+00,-0.75,-0.559536879,19.03403365,22.46640467
487.52,1.06,0.645402402,2.138661518,3.45E+00,-0.75,-0.55685269,19.05295315,22.4801524
492.92,1.05,0.643155285,2.128770403,3.43E+00,-0.75,-0.554168502,19.07171988,22.49390013
498.36,1.05,0.640908168,2.118907792,3.42E+00,-0.74,-0.551484314,19.09035569,22.50764785
503.81,1.05,0.638665801,2.109073686,3.40E+00,-0.74,-0.548800125,19.10886057,22.52117736
509.3,1.05,0.636423435,2.099268084,3.38E+00,-0.74,-0.546115937,19.12721269,22.53448865
514.8,1.04,0.634181069,2.089486237,3.37E+00,-0.74,-0.543431749,19.14545571,22.54779994
520.34,1.04,0.631938703,2.079737645,3.35E+00,-0.73,-0.54074756,19.16354597,22.56089302
525.9,1.04,0.629701087,2.070012807,3.34E+00,-0.73,-0.538063372,19.1815053,22.57398609
531.48,1.03,0.627468223,2.060321224,3.32E+00,-0.73,-0.535374433,19.19935553,22.58686095
537.09,1.03,0.625235358,2.050653395,3.30E+00,-0.73,-0.532690244,19.217053,22.5997358
542.72,1.03,0.623002493,2.041018822,3.29E+00,-0.72,-0.530006056,19.23464136,22.61261066
548.38,1.02,0.62077438,2.031408002,3.27E+00,-0.72,-0.527317117,19.25207697,22.6252673
554.06,1.02,0.618546266,2.021830438,3.26E+00,-0.72,-0.524632929,19.26940347,22.63770572
559.77,1.02,0.616322903,2.012281379,3.24E+00,-0.71,-0.52194874,19.28659904,22.65014413
565.5,1.01,0.614099539,2.002760824,3.22E+00,-0.71,-0.519259801,19.3036855,22.66258255
571.26,1.01,0.611880927,1.993268774,3.21E+00,-0.71,-0.516575613,19.32061921,22.67480276
577.04,1.01,0.609667066,1.983809979,3.19E+00,-0.71,-0.513886674,19.33744381,22.68680474
582.84,1.01,0.607453204,1.974379689,3.18E+00,-0.7,-0.511197734,19.35413748,22.69902494
588.67,1,0.605244093,1.964977903,3.16E+00,-0.7,-0.508513546,19.37072204,22.71080871
594.53,1,0.603034983,1.955604623,3.14E+00,-0.7,-0.505824607,19.38717567,22.72281069
600.4,1,0.600830623,1.946264597,3.13E+00,-0.69,-0.503135668,19.40352019,22.73459446
606.3,0.99,0.598631013,1.936953077,3.11E+00,-0.69,-0.500446729,19.41973378,22.74616001
612.23,0.99,0.596436155,1.927674811,3.09E+00,-0.69,-0.49776254,19.43581643,22.75772555
618.17,0.99,0.594241296,1.918425051,3.08E+00,-0.69,-0.495073601,19.45178998,22.7692911
624.14,0.98,0.592051189,1.909203795,3.06E+00,-0.68,-0.492384662,19.46765442,22.78063843
630.14,0.98,0.589865832,1.900015794,3.05E+00,-0.68,-0.489690972,19.48340976,22.79176755
636.16,0.98,0.587680475,1.890861049,3.03E+00,-0.68,-0.487002033,19.49903416,22.80311488
642.2,0.97,0.58550462,1.88173956,3.01E+00,-0.67,-0.484313094,19.51454945,22.81424399
648.26,0.97,0.583328764,1.872646575,3.00E+00,-0.67,-0.481624155,19.52993381,22.82515488
