y/delta,y^+,U,dU/dy,W,P,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k
0.0180101973776624,35.92595610079432,13.95736472143332,0.0779721253856871,0.0050728047413426,-0.9184078397992084,2000,6.48716493080393,0.9184078397992084,2.395768968274549,-0.9037319993819182,0.0063802856543976,-0.0005424335332181,4.900670869438843
0.018797782864407,37.49699727425217,14.07575422203291,0.0728544716955865,0.0050426926430807,-0.9452126741025212,2000,6.358995053681109,0.9452126741025212,2.404132751966389,-0.9080281094013471,0.006441266977602,-0.000557176454893,4.85417023987501
0.0196020903556503,39.10139477284839,14.18888229319534,0.0682670315500628,0.0050090151278628,-0.9704512682839044,2000,6.237560725701494,0.9704512682839044,2.410586943779458,-0.911780921714463,0.0065176519494406,-0.000573589231697,4.809299468882427
0.0204231061440919,40.7391212538583,14.29724142931055,0.0641492161424685,0.0049726284570243,-0.9941383340649188,2000,6.12290073007251,0.9941383340649188,2.41527187487934,-0.9150511722627392,0.0066074046707571,-0.00059059350139,4.766155469508385
0.0212608162376826,42.4101488065523,14.40127843796958,0.0604467018870457,0.0049343583206243,-1.01629959906825,2000,6.014956717615818,1.01629959906825,2.418320449901894,-0.9178927543061932,0.006705602918449,-0.0006062736140038,4.724788383292982
0.0221152063598629,44.11444895267251,14.50139746016183,0.0571116291191358,0.0048950282651549,-1.036970047972602,2000,5.91359635189886,1.036970047972602,2.419859041586698,-0.920353762415301,0.0068039429302194,-0.0006193741207006,4.68521272072908
0.022986261949806,45.85199264691642,14.59796414439941,0.0541020630243706,0.0048554310041758,-1.056192282578737,2000,5.818628854188835,1.056192282578737,2.420007229356905,-0.9224764851832298,0.0068899290205479,-0.0006300445534754,4.647414183062238
0.0238739681626661,47.62275027743362,14.69130865493021,0.0513803780377686,0.0048162556003096,-1.074015064112734,2000,5.729824450877664,1.074015064112734,2.418875604388231,-0.924299144926523,0.0069526128108676,-0.0006391103132581,4.611357559689313
0.0247783098698318,49.42669166632965,14.78172749783811,0.0489128194720521,0.0047780685637902,-1.090492074282209,2000,5.646933783796538,1.090492074282209,2.416564899757016,-0.9258563749252128,0.006987975426012,-0.0006473558989141,4.576995378917881
0.0256992716591832,51.26378607018022,14.8694861318992,0.0466697748881063,0.0047413150628778,-1.105680846032243,2000,5.569686383981465,1.105680846032243,2.41317181286859,-0.9271779962045762,0.0069973270938372,-0.0006545728063721,4.54426952144115
0.026636837835355,53.13400218055522,14.95482222674931,0.0446253792543743,0.0047063910843975,-1.119641830164056,2000,5.49778530738921,1.119641830164056,2.408789118063916,-0.9282886485670612,0.0069840472557468,-0.0006592129130905,4.513108127808591
0.0275909924200041,55.03730812455282,15.03794834962503,0.0427567590723105,0.0046737110460059,-1.13243752064066,2000,5.430923732195517,1.13243752064066,2.403501373576987,-0.9292088503967414,0.0069546801652289,-0.0006595611651655,4.483431313206582
0.0285617191520815,56.9736714653417,15.11905409890579,0.0410437064705878,0.0046437374255923,-1.144131516186166,2000,5.36880374798173,1.144131516186166,2.397391911100941,-0.9299560918041264,0.0069147932696283,-0.0006552011875114,4.455163587634418
0.0295490014881095,58.94305920271461,15.19830848684523,0.0394687069624301,0.004616900554081,-1.154787656053949,2000,5.311129992488066,1.154787656053949,2.390543892712882,-0.9305452950675328,0.0068610752573626,-0.0006471448122152,4.428230770627449
0.0305528226024643,60.94543777365077,15.27586278106747,0.0380168392041737,0.0045932918483185,-1.164469361170198,2000,5.257601583187956,1.164469361170198,2.383031740093246,-0.9309892091524749,0.0067846566922578,-0.0006363274317272,4.4025513422257
